uniqID,GeneID,locus_tag,UniProtID,type,gene,product
g0390,3900390,SYN_00390,P10390,CDS,semA,putative oxidoreductase
g0391,3900391,SYN_00391,P10391,CDS,,cell division protein
g0392,3900392,SYN_00392,P10392,CDS,,DNA-binding response regulator
g0393,3900393,SYN_00393,P10393,CDS,,putative oxidoreductase
g0394,3900394,SYN_00394,P10394,CDS,tok,50S ribosomal protein
g0395,3900395,SYN_00395,P10395,CDS,,ABC transporter ATP-binding protein
g0396,3900396,SYN_00396,P10396,CDS,kelA,NADH dehydrogenase subunit
g0397,3900397,SYN_00397,P10397,CDS,hafa,transcriptional regulator
g0398,3900398,SYN_00398,P10398,CDS,hit,transcriptional regulator
g0399,3900399,SYN_00399,P10399,CDS,vemoD,hypothetical protein
g0400,3900400,SYN_00400,P10400,CDS,,NADH dehydrogenase subunit
g0401,3900401,SYN_00401,P10401,CDS,,transcriptional regulator
g0402,3900402,SYN_00402,P10402,CDS,vicA,50S ribosomal protein
g0403,3900403,SYN_00403,P10403,CDS,naru,cell division protein
g0404,3900404,SYN_00404,P10404,CDS,com,ABC transporter ATP-binding protein
g0405,3900405,SYN_00405,P10405,CDS,,50S ribosomal protein
g0406,3900406,SYN_00406,P10406,CDS,,transcriptional regulator
g0407,3900407,SYN_00407,P10407,CDS,kisi,ribosomal protein
g0408,3900408,SYN_00408,P10408,CDS,,cell division protein
g0409,3900409,SYN_00409,P10409,CDS,pufo,ABC transporter ATP-binding protein
g0410,3900410,SYN_00410,P10410,CDS,tif,transcriptional regulator
g0411,3900411,SYN_00411,P10411,CDS,loveD,50S ribosomal protein
g0412,3900412,SYN_00412,P10412,CDS,huk,transcriptional regulator
g0413,3900413,SYN_00413,P10413,CDS,,putative oxidoreductase
g0414,3900414,SYN_00414,P10414,CDS,vocA,50S ribosomal protein
g0415,3900415,SYN_00415,P10415,CDS,,putative oxidoreductase
g0416,3900416,SYN_00416,P10416,CDS,kor,DNA-binding response regulator
g0417,3900417,SYN_00417,P10417,CDS,,cell division protein
g0418,3900418,SYN_00418,P10418,CDS,nib,NADH dehydrogenase subunit
g0419,3900419,SYN_00419,P10419,CDS,kefi,putative oxidoreductase
g0420,3900420,SYN_00420,P10420,CDS,,NADH dehydrogenase subunit
g0421,3900421,SYN_00421,P10421,CDS,givo,NADH dehydrogenase subunit
g0422,3900422,SYN_00422,P10422,CDS,,DNA-binding response regulator
g0423,3900423,SYN_00423,P10423,CDS,vahiD,transcriptional regulator
g0424,3900424,SYN_00424,P10424,CDS,mis,cell division protein
g0425,3900425,SYN_00425,P10425,CDS,satu,50S ribosomal protein
g0426,3900426,SYN_00426,P10426,CDS,,ABC transporter ATP-binding protein
g0427,3900427,SYN_00427,P10427,CDS,,transcriptional regulator
g0428,3900428,SYN_00428,P10428,CDS,,transcriptional regulator
g0429,3900429,SYN_00429,P10429,CDS,,cell division protein
g0430,3900430,SYN_00430,P10430,CDS,,ribosomal protein
g0431,3900431,SYN_00431,P10431,CDS,,cell division protein
g0432,3900432,SYN_00432,P10432,CDS,,cell division protein
g0433,3900433,SYN_00433,P10433,CDS,tope,ABC transporter ATP-binding protein
g0434,3900434,SYN_00434,P10434,CDS,,ABC transporter ATP-binding protein
g0435,3900435,SYN_00435,P10435,CDS,runiD,putative oxidoreductase
g0436,3900436,SYN_00436,P10436,CDS,ruc,50S ribosomal protein
g0437,3900437,SYN_00437,P10437,CDS,,hypothetical protein
g0438,3900438,SYN_00438,P10438,CDS,,DNA-binding response regulator
g0439,3900439,SYN_00439,P10439,CDS,ladu,hypothetical protein
g0440,3900440,SYN_00440,P10440,CDS,,transcriptional regulator
g0441,3900441,SYN_00441,P10441,CDS,,putative oxidoreductase
g0442,3900442,SYN_00442,P10442,CDS,,DNA-binding response regulator
g0443,3900443,SYN_00443,P10443,CDS,,NADH dehydrogenase subunit
g0444,3900444,SYN_00444,P10444,CDS,hanA,hypothetical protein
g0445,3900445,SYN_00445,P10445,CDS,,DNA-binding response regulator
g0446,3900446,SYN_00446,P10446,CDS,bum,DNA-binding response regulator
g0447,3900447,SYN_00447,P10447,CDS,boruD,transcriptional regulator
g0448,3900448,SYN_00448,P10448,CDS,cif,putative oxidoreductase
g0449,3900449,SYN_00449,P10449,CDS,lomo,DNA-binding response regulator
g0450,3900450,SYN_00450,P10450,CDS,,transcriptional regulator
g0451,3900451,SYN_00451,P10451,CDS,lavo,NADH dehydrogenase subunit
g0452,3900452,SYN_00452,P10452,CDS,den,DNA-binding response regulator
g0453,3900453,SYN_00453,P10453,CDS,,hypothetical protein
g0454,3900454,SYN_00454,P10454,CDS,van,ABC transporter ATP-binding protein
g0455,3900455,SYN_00455,P10455,CDS,,50S ribosomal protein
g0456,3900456,SYN_00456,P10456,CDS,gasA,cell division protein
g0457,3900457,SYN_00457,P10457,CDS,,ABC transporter ATP-binding protein
g0458,3900458,SYN_00458,P10458,CDS,,ribosomal protein
g0459,3900459,SYN_00459,P10459,CDS,,NADH dehydrogenase subunit
g0460,3900460,SYN_00460,P10460,CDS,cak,putative oxidoreductase
g0461,3900461,SYN_00461,P10461,CDS,vogi,NADH dehydrogenase subunit
g0462,3900462,SYN_00462,P10462,CDS,cavA,hypothetical protein
g0463,3900463,SYN_00463,P10463,CDS,,DNA-binding response regulator
g0464,3900464,SYN_00464,P10464,CDS,dop,putative oxidoreductase
g0465,3900465,SYN_00465,P10465,CDS,lufiD,hypothetical protein
g0466,3900466,SYN_00466,P10466,CDS,,NADH dehydrogenase subunit
g0467,3900467,SYN_00467,P10467,CDS,remu,transcriptional regulator
g0468,3900468,SYN_00468,P10468,CDS,,ribosomal protein
g0469,3900469,SYN_00469,P10469,CDS,,ribosomal protein
g0470,3900470,SYN_00470,P10470,CDS,tol,50S ribosomal protein
g0471,3900471,SYN_00471,P10471,CDS,semaD,cell division protein
g0472,3900472,SYN_00472,P10472,CDS,,putative oxidoreductase
g0473,3900473,SYN_00473,P10473,CDS,ripo,ABC transporter ATP-binding protein
g0474,3900474,SYN_00474,P10474,CDS,vimA,ABC transporter ATP-binding protein
g0475,3900475,SYN_00475,P10475,CDS,pifu,putative oxidoreductase
g0476,3900476,SYN_00476,P10476,CDS,,DNA-binding response regulator
g0477,3900477,SYN_00477,P10477,CDS,geguD,NADH dehydrogenase subunit
g0478,3900478,SYN_00478,P10478,CDS,,cell division protein
g0479,3900479,SYN_00479,P10479,CDS,rupa,NADH dehydrogenase subunit
g0480,3900480,SYN_00480,P10480,CDS,sagA,ribosomal protein
g0481,3900481,SYN_00481,P10481,CDS,kuda,transcriptional regulator
g0482,3900482,SYN_00482,P10482,CDS,fid,DNA-binding response regulator
g0483,3900483,SYN_00483,P10483,CDS,,ABC transporter ATP-binding protein
g0484,3900484,SYN_00484,P10484,CDS,dib,50S ribosomal protein
g0485,3900485,SYN_00485,P10485,CDS,,50S ribosomal protein
g0486,3900486,SYN_00486,P10486,CDS,defA,NADH dehydrogenase subunit
g0487,3900487,SYN_00487,P10487,CDS,,50S ribosomal protein
g0488,3900488,SYN_00488,P10488,CDS,ruh,ABC transporter ATP-binding protein
g0489,3900489,SYN_00489,P10489,CDS,butiD,putative oxidoreductase
g0490,3900490,SYN_00490,P10490,CDS,neb,hypothetical protein
g0491,3900491,SYN_00491,P10491,CDS,rusu,NADH dehydrogenase subunit
g0492,3900492,SYN_00492,P10492,CDS,,hypothetical protein
g0493,3900493,SYN_00493,P10493,CDS,,ribosomal protein
g0494,3900494,SYN_00494,P10494,CDS,ces,ABC transporter ATP-binding protein
g0495,3900495,SYN_00495,P10495,CDS,teneD,transcriptional regulator
g0496,3900496,SYN_00496,P10496,CDS,gip,NADH dehydrogenase subunit
g0497,3900497,SYN_00497,P10497,CDS,nefe,putative oxidoreductase
g0498,3900498,SYN_00498,P10498,CDS,rosA,DNA-binding response regulator
g0499,3900499,SYN_00499,P10499,CDS,,ribosomal protein
g0500,3900500,SYN_00500,P10500,CDS,fef,cell division protein
g0501,3900501,SYN_00501,P10501,CDS,,transcriptional regulator
g0502,3900502,SYN_00502,P10502,CDS,,cell division protein
g0503,3900503,SYN_00503,P10503,CDS,coke,50S ribosomal protein
g0504,3900504,SYN_00504,P10504,CDS,,NADH dehydrogenase subunit
g0505,3900505,SYN_00505,P10505,CDS,,NADH dehydrogenase subunit
g0506,3900506,SYN_00506,P10506,CDS,,DNA-binding response regulator
g0507,3900507,SYN_00507,P10507,CDS,,DNA-binding response regulator
g0508,3900508,SYN_00508,P10508,CDS,fud,hypothetical protein
g0509,3900509,SYN_00509,P10509,CDS,,ribosomal protein
g0510,3900510,SYN_00510,P10510,CDS,fuvA,DNA-binding response regulator
g0511,3900511,SYN_00511,P10511,CDS,make,DNA-binding response regulator
g0512,3900512,SYN_00512,P10512,CDS,,transcriptional regulator
g0513,3900513,SYN_00513,P10513,CDS,,cell division protein
g0514,3900514,SYN_00514,P10514,CDS,fid,cell division protein
g0515,3900515,SYN_00515,P10515,CDS,huta,hypothetical protein
g0516,3900516,SYN_00516,P10516,CDS,milA,cell division protein
g0517,3900517,SYN_00517,P10517,CDS,,putative oxidoreductase
g0518,3900518,SYN_00518,P10518,CDS,gim,NADH dehydrogenase subunit
g0519,3900519,SYN_00519,P10519,CDS,cokuD,ribosomal protein
g0520,3900520,SYN_00520,P10520,CDS,,ABC transporter ATP-binding protein
