uniqID,GeneID,locus_tag,UniProtID,type,localz,gene,product,KG_FG,KG_FM,KG_PC,KG_PG,KG_PW,UP_FM,UP_PW,UP_KW
g0920,885210,Rv0888,P9WKQ1,CDS,Extracellular,spmT,Sphingomyelinase,,,Metabolism,Lipid metabolism,Sphingolipid metabolism,SpmT family,,Cell outer membrane;Cytolysis;Hemolysis;Hydrolase;Ion transport;Lipid degradation;Lipid metabolism;Membrane;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
g0921,885466,Rv0889c,P9WPD3,CDS,Cytoplasmic,citA,Putative citrate synthase 2,,,Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism,citrate synthase family,Carbohydrate metabolism; tricarboxylic acid cycle; isocitrate from oxaloacetate,3D-structure;Acetylation;Allosteric enzyme;Reference proteome;Transferase;Tricarboxylic acid cycle
g0922,885227,Rv0890c,P9WMG1,CDS,Cytoplasmic,,Putative HTH-type transcriptional regulator Rv0890c,,,,,,,,DNA-binding;Reference proteome;Transcription;Transcription regulation
g0923,885493,Rv0891c,P9WMV1,CDS,Cytoplasmic,,Uncharacterized protein Rv0891c,,,,,,adenylyl cyclase class-4/guanylyl cyclase family,,Reference proteome
g0924,885225,Rv0892,P9WNG1,CDS,Plasma Membrane,,Uncharacterized monooxygenase Rv0892,,,,,,FAD-binding monooxygenase family,,FAD;Flavoprotein;Monooxygenase;NADP;Oxidoreductase;Reference proteome
g0925,885477,Rv0893c,P9WFI1,CDS,Cytoplasmic,,Putative S-adenosyl-L-methionine-dependent methyltransferase Rv0893c,,,,,,UPF0677 family,,Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase
g0926,885199,Rv0894,P9WKP9,CDS,Cytoplasmic,,Uncharacterized protein Rv0894,,,,,,,,ATP-binding;Nucleotide-binding;Reference proteome
g0927,885481,Rv0895,P9WKA3,CDS,Cytoplasmic,,Putative diacyglycerol O-acyltransferase Rv0895,,,Metabolism,Lipid metabolism,"Cutin, suberine and wax biosynthesis; Glycerolipid metabolism",long-chain O-acyltransferase family,Glycerolipid metabolism; triacylglycerol biosynthesis,Acyltransferase;Glycerol metabolism;Lipid biosynthesis;Lipid metabolism;Reference proteome;Transferase
g0928,885208,Rv0896,P9WPD5,CDS,Cytoplasmic,gltA2,Citrate synthase 1,,,Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism,citrate synthase family,Carbohydrate metabolism; tricarboxylic acid cycle; isocitrate from oxaloacetate,3D-structure;Allosteric enzyme;Isopeptide bond;Reference proteome;Transferase;Tricarboxylic acid cycle;Ubl conjugation
g0929,885641,Rv0897c,P9WKP7,CDS,Cytoplasmic,,Uncharacterized protein Rv0897c,,,,,,,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0930,885206,Rv0898c,P9WKP5,CDS,Cytoplasmic,,Uncharacterized protein Rv0898c,,,,,,,,Reference proteome
g0931,885286,Rv0899,P9WIU5,CDS,Plasma Membrane,arfA,Peptidoglycan-binding protein ArfA,signaling and cellular processes,Transporters,,,,outer membrane OOP (TC 1.B.6) superfamily. ArfA family,,3D-structure;Cell outer membrane;Cell wall;Disulfide bond;Ion transport;Membrane;Metal-binding;Reference proteome;Secreted;Transmembrane;Transmembrane helix;Transport;Zinc
g0932,885179,Rv0900,P9WJG7,CDS,Plasma Membrane,arfB,Uncharacterized membrane protein ArfB,,,,,,ArfB membrane protein family,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0933,885203,Rv0901,P9WJG5,CDS,Plasma Membrane,arfC,Uncharacterized membrane protein ArfC,,,,,,ArfC membrane protein family,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0934,885647,Rv0902c,P9WGK7,CDS,Plasma Membrane,prrB,Sensor-type histidine kinase PrrB,metabolism; signaling and cellular processes,Protein kinases; Two-component system,Environmental Information Processing,Signal transduction,Two-component system,,,3D-structure;ATP-binding;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system
g0935,885209,Rv0903c,P9WGM1,CDS,Cytoplasmic,prrA,Transcriptional regulatory protein PrrA,signaling and cellular processes,Two-component system,Environmental Information Processing,Signal transduction,Two-component system,,,3D-structure;Cytoplasm;DNA-binding;Magnesium;Metal-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system
g0936,885279,Rv0904c,P9WQH9,CDS,Cytoplasmic,accD3,Probable biotin-dependent acyl-coenzyme A carboxylase beta3 subunit,,,,,,AccD/PCCB family,,Reference proteome;Transferase
g0937,885825,Rv0905,P9WNP1,CDS,Cytoplasmic,echA6,Probable enoyl-CoA hydratase EchA6,,,,,,enoyl-CoA hydratase/isomerase family,,3D-structure;Fatty acid metabolism;Lipid metabolism;Lyase;Reference proteome
g0938,885150,Rv0906,P9WKP3,CDS,Plasma Membrane,,Uncharacterized protein Rv0906,,,,,,To K.pneumoniae RomA,,Reference proteome;Signal
g0939,885146,Rv0907,O05900,CDS,Extracellular,,hypothetical protein,,,,,,,,Reference proteome
g0940,885657,Rv0908,P9WPT1,CDS,Plasma Membrane,ctpE,Calcium-transporting ATPase CtpE,,,,,,cation transport ATPase (P-type) (TC 3.A.3) family,,ATP-binding;Calcium;Calcium transport;Cell membrane;Ion transport;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport
g0941,885197,Rv0909,P9WJ07,CDS,Cytoplasmic,,Antitoxin Rv0909,,,,,,,,Reference proteome;Toxin-antitoxin system
g0942,885137,Rv0910,P9WJ05,CDS,Cytoplasmic,,Toxin Rv0910,,,,,,,,Reference proteome;Toxin-antitoxin system
g0943,885093,Rv0911,I6XA34,CDS,Cytoplasmic,,hypothetical protein,,,,,,,,Reference proteome
g0944,885103,Rv0912,O05904,CDS,Plasma Membrane,,transmembrane protein,,,,,,,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0945,885042,Rv0913c,I6Y551,CDS,Cytoplasmic,,Dioxygenase,,,,,,carotenoid oxygenase family,,Dioxygenase;Iron;Metal-binding;Oxidoreductase;Reference proteome
g0946,885046,Rv0914c,I6XWJ8,CDS,Cytoplasmic,,lipid carrier protein or keto acyl-CoA thiolase,signaling and cellular processes,Exosome,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Energy metabolism; Lipid metabolism; Amino acid metabolism; Metabolism of terpenoids and polyketides; Xenobiotics biodegradation and metabolism; Signal transduction,"Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; Other carbon fixation pathways; Fatty acid degradation; Valine, leucine and isoleucine degradation; Lysine degradation; Tryptophan metabolism; Terpenoid backbone biosynthesis; Benzoate degradation; Two-component system",,,Reference proteome
g0947,885069,Rv0915c,P9WI33,CDS,Extracellular,PPE14,Uncharacterized PPE family protein PPE14,,,,,,mycobacterial PPE family,,Reference proteome
g0948,885167,Rv0916c,I6Y936,CDS,Extracellular,PE7,PE family protein PE7,,,,,,,,Reference proteome
g0949,885172,Rv0917,P9WPR7,CDS,Plasma Membrane,betP,Uncharacterized transporter Rv0917,signaling and cellular processes,Transporters,,,,BCCT transporter (TC 2.A.15) family,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
g0950,885198,Rv0918,O05910,CDS,Cytoplasmic,tacA,Antitoxin TacA,,,,,,TacA antitoxin family,,DNA-binding;Reference proteome;Repressor;Toxin-antitoxin system;Transcription;Transcription regulation
g0951,885221,Rv0919,I6XA42,CDS,Cytoplasmic,tacT,tRNA-acetylating toxin,,,,,,acetyltransferase family. GNAT subfamily,,Acyltransferase;Reference proteome;Repressor;RNA-binding;Toxin-antitoxin system;Transcription;Transcription regulation;Transferase;tRNA-binding
g0952,885549,Rv0920c,I6Y941,CDS,Cytoplasmic,,Mutator family transposase,,,,,,transposase mutator family,,DNA recombination;DNA-binding;Reference proteome;Transposable element;Transposition
g0953,885557,Rv0921,I6WZS4,CDS,Cytoplasmic,,resolvase,,,,,,,,3D-structure;Reference proteome
g0954,885564,Rv0922,I6Y560,CDS,Cytoplasmic,,transposase,,,,,,In the C-terminal section; belongs to the transposase 35 family,,DNA recombination;DNA-binding;Reference proteome;Transposition
g0955,885568,Rv0923c,I6XWK6,CDS,Cytoplasmic,,Phage-related replication protein,,,,,,,,Lyase;Reference proteome
g0956,885569,Rv0924c,P9WIZ5,CDS,Plasma Membrane,mntH,Divalent metal cation transporter MntH,signaling and cellular processes,Transporters,,,,NRAMP family,,Cell membrane;Ion transport;Iron;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport;Zinc
g0957,885570,Rv0925c,I6Y946,CDS,Cytoplasmic,,hypothetical protein,,,,,,,,Reference proteome
g0958,885387,Rv0926c,I6WZS8,CDS,Cytoplasmic,,"2,4-diaminopentanoate dehydrogenase C-terminal domain-containing protein",,,,,,,,Reference proteome
g0959,885571,Rv0927c,P9WGQ5,CDS,Cytoplasmic,,Uncharacterized oxidoreductase Rv0927c,,,Metabolism,Lipid metabolism,Secondary bile acid biosynthesis,short-chain dehydrogenases/reductases (SDR) family,,Oxidoreductase;Reference proteome
g0960,885366,Rv0928,P9WGT7,CDS,Plasma Membrane,pstS3,Phosphate-binding protein PstS 3,signaling and cellular processes,Transporters,Environmental Information Processing; Human Diseases,Membrane transport; Signal transduction; Infectious disease: bacterial,ABC transporters; Two-component system; Tuberculosis,PstS family,,3D-structure;Cell membrane;Lipoprotein;Membrane;Palmitate;Phosphate transport;Reference proteome;Signal;Stress response;Transport
g0961,885585,Rv0929,P9WG05,CDS,Plasma Membrane,pstC2,Phosphate transport system permease protein PstC 2,signaling and cellular processes,Transporters,Environmental Information Processing,Membrane transport,ABC transporters,binding-protein-dependent transport system permease family. CysTW subfamily,,Cell membrane;Membrane;Phosphate transport;Reference proteome;Transmembrane;Transmembrane helix;Transport
g0962,885589,Rv0930,P9WG11,CDS,Plasma Membrane,pstA1,Phosphate transport system permease protein PstA 1,signaling and cellular processes,Transporters,Environmental Information Processing,Membrane transport,ABC transporters,binding-protein-dependent transport system permease family. CysTW subfamily,,Cell membrane;Membrane;Phosphate transport;Reference proteome;Transmembrane;Transmembrane helix;Transport
g0963,885607,Rv0931c,P9WI79,CDS,Plasma Membrane,pknD,Serine/threonine-protein kinase PknD,metabolism,Protein kinases,,,,protein kinase superfamily. Ser/Thr protein kinase family,,3D-structure;Acetylation;ATP-binding;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Serine/threonine-protein kinase;Transferase;Transmembrane;Transmembrane helix;Virulence
g0964,885613,Rv0932c,P9WGT9,CDS,Plasma Membrane,pstS2,Phosphate-binding protein PstS 2,signaling and cellular processes,Transporters,Environmental Information Processing; Human Diseases,Membrane transport; Signal transduction; Infectious disease: bacterial,ABC transporters; Two-component system; Tuberculosis,PstS family,,Cell membrane;Lipoprotein;Membrane;Palmitate;Phosphate transport;Reference proteome;Signal;Transport;Virulence
g0965,885653,Rv0933,P9WQK9,CDS,Plasma Membrane,pstB2,Phosphate import ATP-binding protein PstB 2,signaling and cellular processes,Transporters,Environmental Information Processing,Membrane transport,ABC transporters,ABC transporter superfamily. Phosphate importer (TC 3.A.1.7) family,,ATP-binding;Cell membrane;Membrane;Nucleotide-binding;Phosphate transport;Reference proteome;Translocase;Transport
g0966,885724,Rv0934,P9WGU1,CDS,Plasma Membrane,pstS1,Phosphate-binding protein PstS 1,signaling and cellular processes,Transporters,Environmental Information Processing; Human Diseases,Membrane transport; Signal transduction; Infectious disease: bacterial,ABC transporters; Two-component system; Tuberculosis,PstS family,,3D-structure;Cell adhesion;Cell membrane;Cell wall;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphate transport;Reference proteome;Secreted;Signal;Transport;Virulence
g0967,885644,Rv0935,P9WG07,CDS,Plasma Membrane,pstC1,Phosphate transport system permease protein PstC 1,signaling and cellular processes,Transporters,Environmental Information Processing,Membrane transport,ABC transporters,binding-protein-dependent transport system permease family. CysTW subfamily,,Cell membrane;Membrane;Phosphate transport;Reference proteome;Transmembrane;Transmembrane helix;Transport
g0968,885756,Rv0936,P9WG09,CDS,Plasma Membrane,pstA2,Phosphate transport system permease protein PstA 2,signaling and cellular processes,Transporters,Environmental Information Processing,Membrane transport,ABC transporters,binding-protein-dependent transport system permease family. CysTW subfamily,,Cell membrane;Membrane;Phosphate transport;Reference proteome;Transmembrane;Transmembrane helix;Transport
g0969,885050,Rv0937c,P9WKD9,CDS,Cytoplasmic,mku,Non-homologous end joining protein Ku,genetic information processing,DNA repair and recombination proteins,Genetic Information Processing,Replication and repair,Non-homologous end-joining,prokaryotic Ku family,,DNA damage;DNA recombination;DNA repair;DNA-binding;Reference proteome
g0970,885561,Rv0938,P9WNV3,CDS,Cytoplasmic,ligD,Multifunctional non-homologous end joining DNA repair protein LigD,genetic information processing,DNA repair and recombination proteins,Genetic Information Processing,Replication and repair,Non-homologous end-joining,In the N-terminal section; belongs to the LigD polymerase family; In the central section; belongs to the LigD 3'-phosphoesterase family; In the C-terminal section; belongs to the ATP-dependent DNA ligase family,,3D-structure;ATP-binding;DNA damage;DNA recombination;DNA repair;DNA-binding;DNA-directed DNA polymerase;Exonuclease;Host-virus interaction;Hydrolase;Ligase;Manganese;Metal-binding;Multifunctional enzyme;Nuclease;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase
g0971,885560,Rv0939,O86346,CDS,Cytoplasmic,,"bifunctional 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase/cyclase/dehydrase",,,,,,,,Isomerase;Reference proteome
g0972,885412,Rv0940c,P9WKP1,CDS,Cytoplasmic,,Uncharacterized protein Rv0940c,,,,,,,,Reference proteome
g0973,885914,Rv0941c,P71568,CDS,Cytoplasmic,,STAS domain-containing protein,,,,,,,,Reference proteome
g0974,885913,Rv0942,P9WKN9,CDS,Extracellular,,Uncharacterized protein Rv0942,,,,,,,,Reference proteome
g0975,885889,Rv0943c,P9WKN7,CDS,Cytoplasmic,,Uncharacterized protein Rv0943c,,,,,,,,Reference proteome
g0976,885888,Rv0944,L0T864,CDS,Cytoplasmic,fpg2,Uncharacterized formamidopyrimidine-DNA glycosylase-like protein,genetic information processing,DNA repair and recombination proteins,Genetic Information Processing,Replication and repair,Base excision repair,,,Metal-binding;Reference proteome;Zinc;Zinc-finger
g0977,885629,Rv0945,P9WGR7,CDS,Plasma Membrane,,Uncharacterized oxidoreductase Rv0945,,,,,,short-chain dehydrogenases/reductases (SDR) family,,Oxidoreductase;Reference proteome
g0978,885533,Rv0946c,P9WN69,CDS,Cytoplasmic,pgi,Glucose-6-phosphate isomerase,signaling and cellular processes,Exosome,Metabolism,Carbohydrate metabolism; Glycan biosynthesis and metabolism,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,GPI family,Carbohydrate biosynthesis; gluconeogenesis; Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose,3D-structure;Acetylation;Cytoplasm;Gluconeogenesis;Glycolysis;Isomerase;Reference proteome
g0979,,Rv0947c,,misc_feature,,,,,,,,,,,
g0980,885485,Rv0948c,P9WIC1,CDS,Cytoplasmic,,Intracellular chorismate mutase,,,Metabolism,Amino acid metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",,Metabolic intermediate biosynthesis; prephenate biosynthesis; prephenate from chorismate,3D-structure;Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Cytoplasm;Isomerase;Reference proteome
g0981,885442,Rv0949,P9WMQ1,CDS,Cytoplasmic,uvrD1,ATP-dependent DNA helicase UvrD1,genetic information processing,DNA repair and recombination proteins,Genetic Information Processing,Replication and repair,Nucleotide excision repair; Mismatch repair,helicase family. UvrD subfamily,,3D-structure;Acetylation;ATP-binding;DNA damage;DNA repair;DNA-binding;Helicase;Hydrolase;Isomerase;Nucleotide-binding;Reference proteome
g0982,885438,Rv0950c,P71560,CDS,Extracellular,,M23ase beta-sheet core domain-containing protein,,,,,,,,Reference proteome
g0983,885434,Rv0951,P9WGC5,CDS,Cytoplasmic,sucC,Succinate--CoA ligase [ADP-forming] subunit beta,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Citrate cycle (TCA cycle); Propanoate metabolism; C5-Branched dibasic acid metabolism; Other carbon fixation pathways,succinate/malate CoA ligase beta subunit family,Carbohydrate metabolism; tricarboxylic acid cycle; succinate from succinyl-CoA (ligase route),ATP-binding;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Tricarboxylic acid cycle
g0984,885426,Rv0952,P9WGC7,CDS,Cytoplasmic,sucD,Succinate--CoA ligase [ADP-forming] subunit alpha,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Citrate cycle (TCA cycle); Propanoate metabolism; C5-Branched dibasic acid metabolism; Other carbon fixation pathways,succinate/malate CoA ligase alpha subunit family,Carbohydrate metabolism; tricarboxylic acid cycle; succinate from succinyl-CoA (ligase route),Ligase;Nucleotide-binding;Reference proteome;Tricarboxylic acid cycle
g0985,885419,Rv0953c,P9WKN5,CDS,Cytoplasmic,,Uncharacterized protein Rv0953c,,,,,,To M.tuberculosis Rv2161c and Rv3079c,,Reference proteome
g0986,885411,Rv0954,P9WIR9,CDS,Plasma Membrane,,34 kDa antigenic protein homolog,,,,,,To M.paratuberculosis 34 kDa antigenic protein,,Acetylation;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0987,885408,Rv0955,P9WKN3,CDS,Plasma Membrane,,Uncharacterized protein Rv0955,,,,,,,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0988,885407,Rv0956,P9WHM5,CDS,Cytoplasmic,purN,Phosphoribosylglycinamide formyltransferase,,,Metabolism,Nucleotide metabolism; Metabolism of cofactors and vitamins,Purine metabolism; One carbon pool by folate,GART family,Purine metabolism; IMP biosynthesis via de novo pathway; N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide from N(1)-(5-phospho-D-ribosyl)glycinamide (10-formyl THF route),3D-structure;Magnesium;Metal-binding;Purine biosynthesis;Reference proteome;Transferase
g0989,885406,Rv0957,P9WHM7,CDS,Cytoplasmic,purH,Bifunctional purine biosynthesis protein PurH,signaling and cellular processes,Exosome,Metabolism,Nucleotide metabolism; Metabolism of cofactors and vitamins,Purine metabolism; One carbon pool by folate,PurH family,Purine metabolism; IMP biosynthesis via de novo pathway; 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide (10-formyl THF route); Purine metabolism; IMP biosynthesis via de novo pathway; IMP from 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,3D-structure;Hydrolase;Multifunctional enzyme;Purine biosynthesis;Reference proteome;Transferase
g0990,885405,Rv0958,P71552,CDS,Cytoplasmic,,magnesium chelatase,,,Metabolism,Metabolism of cofactors and vitamins,Porphyrin metabolism,,,Reference proteome
g0991,885329,Rv0959,P9WKN1,CDS,Cytoplasmic,,Uncharacterized protein Rv0959,,,,,,,,Reference proteome
g0992,14515852,Rv0959A,P9WJ55,CDS,Cytoplasmic,vapB9,Putative antitoxin VapB9,signaling and cellular processes,Prokaryotic defense system,,,,,,Reference proteome;Toxin-antitoxin system
g0993,885158,Rv0960,P9WFA9,CDS,Cytoplasmic,vapC9,Ribonuclease VapC9,signaling and cellular processes,Prokaryotic defense system,,,,PINc/VapC protein family,,Hydrolase;Magnesium;Metal-binding;Nuclease;Reference proteome;Toxin-antitoxin system
g0994,885173,Rv0961,P9WKM9,CDS,Plasma Membrane,,Uncharacterized protein Rv0961,,,,,,,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0995,885177,Rv0962c,P9WK39,CDS,Plasma Membrane,lprP,Uncharacterized lipoprotein LprP,,,,,,To M.bovis LprP,,Cell membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal
g0996,885184,Rv0963c,P9WKM7,CDS,Extracellular,,Uncharacterized protein Rv0963c,,,,,,,,Reference proteome
g0997,885186,Rv0964c,P9WKM5,CDS,Extracellular,,Uncharacterized protein Rv0964c,,,,,,,,Reference proteome
g0998,885230,Rv0965c,P9WKM3,CDS,Extracellular,,Uncharacterized protein Rv0965c,,,,,,To M.tuberculosis Rv2798c,,Reference proteome
g0999,885043,Rv0966c,P9WKM1,CDS,Plasma Membrane,,Uncharacterized protein Rv0966c,,,,,,,,Reference proteome
g1000,885312,Rv0967,P9WP49,CDS,Cytoplasmic,csoR,Copper-sensing transcriptional repressor CsoR,genetic information processing,Transcription factors,,,,CsoR family,,3D-structure;Copper;Cytoplasm;DNA-binding;Metal-binding;Reference proteome;Repressor;Transcription;Transcription regulation
g1001,885052,Rv0968,P9WKL9,CDS,Cytoplasmic,,Uncharacterized protein Rv0968,,,,,,To M.tuberculosis Rv1991c and Rv3269,,Reference proteome
g1002,885254,Rv0969,P9WPS3,CDS,Plasma Membrane,ctpV,Probable copper-exporting P-type ATPase V,,,,,,cation transport ATPase (P-type) (TC 3.A.3) family. Type IB subfamily,,ATP-binding;Cell membrane;Copper;Copper transport;Ion transport;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport
g1003,885242,Rv0970,P9WKL7,CDS,Plasma Membrane,,Uncharacterized protein Rv0970,,,,,,,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g1004,885308,Rv0971c,P71540,CDS,Cytoplasmic,echA7,enoyl-CoA hydratase EchA7,,,,,,enoyl-CoA hydratase/isomerase family,,Reference proteome
g1005,885237,Rv0972c,P9WQG3,CDS,Cytoplasmic,fadE12,Acyl-CoA dehydrogenase FadE12,,,,,,acyl-CoA dehydrogenase family,,FAD;Flavoprotein;Oxidoreductase;Reference proteome
g1006,885922,Rv0973c,P71538,CDS,Cytoplasmic,accA2,Biotin-dependent 3-methylcrotonyl-coenzyme A carboxylase alpha1 subunit,,,,,,,,ATP-binding;Biotin;Ligase;Nucleotide-binding;Reference proteome
g1007,886064,Rv0974c,O86318,CDS,Cytoplasmic,accD2,Probable biotin-dependent acyl-coenzyme A carboxylase beta2 subunit,,,,,,AccD/PCCB family,,Reference proteome;Transferase
g1008,885856,Rv0975c,O86319,CDS,Cytoplasmic,fadE13,acyl-CoA dehydrogenase FadE13,,,Metabolism,Lipid metabolism; Amino acid metabolism,"Fatty acid degradation; Valine, leucine and isoleucine degradation",acyl-CoA dehydrogenase family,,FAD;Flavoprotein;Oxidoreductase;Reference proteome
g1009,885860,Rv0976c,O86320,CDS,Cytoplasmic,,Exopolyphosphatase,,,,,,,,Reference proteome
g1010,885264,Rv0977,Q79FU3,CDS,Cell wall & surface,PE_PGRS16,PE-PGRS family protein PE_PGRS16,,,,,,mycobacterial PE family. PGRS subfamily,,3D-structure;Metal-binding;Reference proteome;Zinc
g1011,885077,Rv0978c,Q79FU2,CDS,Extracellular,PE_PGRS17,PE-PGRS family protein PE_PGRS17,,,,,,mycobacterial PE family. PGRS subfamily,,Reference proteome;Repeat;Virulence
g1012,3205057,Rv0979A,P9WH99,CDS,Cytoplasmic,rpmF,Large ribosomal subunit protein bL32,genetic information processing,Ribosome,Genetic Information Processing,Translation,Ribosome,bacterial ribosomal protein bL32 family,,3D-structure;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding
g1013,885063,Rv0979c,O53892,CDS,Cytoplasmic,,hypothetical protein,,,,,,,,Reference proteome
g1014,885327,Rv0980c,Q79FU0,CDS,Extracellular,PE_PGRS18,PE-PGRS family protein PE_PGRS18,,,,,,mycobacterial PE family. PGRS subfamily,,Cell wall;Reference proteome;Repeat;Secreted;Virulence
g1015,885038,Rv0981,P9WGM9,CDS,Cytoplasmic,mprA,Response regulator MprA,signaling and cellular processes,Two-component system,Environmental Information Processing,Signal transduction,Two-component system,,,Activator;Cytoplasm;DNA-binding;Phosphoprotein;Reference proteome;Repressor;Stress response;Transcription;Transcription regulation;Two-component regulatory system;Virulence
g1016,885062,Rv0982,P9WGL1,CDS,Plasma Membrane,mprB,Signal transduction histidine-protein kinase/phosphatase MprB,metabolism; signaling and cellular processes,Protein kinases; Two-component system,Environmental Information Processing,Signal transduction,Two-component system,,,ATP-binding;Cell membrane;Hydrolase;Kinase;Magnesium;Manganese;Membrane;Nucleotide-binding;Phosphoprotein;Protein phosphatase;Reference proteome;Stress response;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system;Virulence
g1017,885382,Rv0983,O53896,CDS,Plasma Membrane,pepD,Serine protease PepD,metabolism,Peptidases and inhibitors,Environmental Information Processing,Signal transduction,Two-component system,peptidase S1C family,,3D-structure;Cell inner membrane;Cell membrane;Cell wall;Hydrolase;Membrane;Protease;Reference proteome;Secreted;Serine protease;Stress response;Transmembrane;Transmembrane helix
g1018,885378,Rv0984,O53897,CDS,Cytoplasmic,moaB2,MoaB/Mog domain-containing protein,,,,,,,Cofactor biosynthesis; molybdopterin biosynthesis,Molybdenum cofactor biosynthesis;Reference proteome
g1019,885368,Rv0985c,P9WJN5,CDS,Plasma Membrane,mscL,Large-conductance mechanosensitive channel,signaling and cellular processes,Transporters,,,,MscL family,,3D-structure;Cell membrane;Ion channel;Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
g1020,885364,Rv0986,P9WQK1,CDS,Plasma Membrane,,Uncharacterized ABC transporter ATP-binding protein Rv0986,signaling and cellular processes,Transporters,,,,ABC transporter superfamily,,ATP-binding;Nucleotide-binding;Reference proteome;Transport
g1021,885363,Rv0987,O53900,CDS,Plasma Membrane,,Uncharacterized ABC transporter permease protein Rv0987,signaling and cellular processes,Transporters,,,,ABC-4 integral membrane protein family,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
g1022,885353,Rv0988,O86370,CDS,Plasma Membrane,,hypothetical protein,,,,,,,,Reference proteome
g1023,885355,Rv0989c,O05572,CDS,Cytoplasmic,grcC2,Dimethylallyltranstransferase,metabolism,Prenyltransferases,Metabolism,Metabolism of terpenoids and polyketides; Biosynthesis of other secondary metabolites,Terpenoid backbone biosynthesis; Biosynthesis of various other secondary metabolites,FPP/GGPP synthase family,Isoprenoid biosynthesis; geranyl diphosphate biosynthesis; geranyl diphosphate from dimethylallyl diphosphate and isopentenyl diphosphate,Lipid biosynthesis;Lipid metabolism;Magnesium;Metal-binding;Reference proteome;Transferase
g1024,885343,Rv0990c,O05573,CDS,Plasma Membrane,,SAF domain-containing protein,,,,,,,,Reference proteome
g1025,885350,Rv0991c,O05574,CDS,Extracellular,,hypothetical protein,,,,,,,,Reference proteome
g1026,885337,Rv0992c,O05575,CDS,Cytoplasmic,,5-formyltetrahydrofolate cyclo-ligase,,,Metabolism; Organismal Systems,Metabolism of cofactors and vitamins; Digestive system,One carbon pool by folate; Folate transport and metabolism,5-formyltetrahydrofolate cyclo-ligase family,,ATP-binding;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome
g1027,885341,Rv0993,O05576,CDS,Cytoplasmic,galU,UTP--glucose-1-phosphate uridylyltransferase,,,Metabolism,Carbohydrate metabolism; Glycan biosynthesis and metabolism,Pentose and glucuronate interconversions; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Biosynthesis of various nucleotide sugars,UDPGP type 2 family,,Nucleotidyltransferase;Reference proteome;Transferase
